Id,Source,Target
0,1950,1950s
1,1950,1950s
2,1951,1950s
3,1951,1950s
4,1952,1950s
5,1952,1950s
6,1953,1950s
7,1953,1950s
8,1954,1950s
9,1954,1950s
10,1955,1950s
11,1955,1950s
12,1956,1950s
13,1956,1950s
14,1957,1950s
15,1957,1950s
16,1958,1950s
17,1958,1950s
18,1959,1950s
19,1959,1950s
20,1960,1960s
21,1960,1960s
22,1961,1960s
23,1961,1960s
24,1962,1960s
25,1962,1960s
26,1963,1960s
27,1963,1960s
28,1964,1960s
29,1964,1960s
30,1965,1960s
31,1965,1960s
32,1966,1960s
33,1966,1960s
34,1967,1960s
35,1967,1960s
36,1968,1960s
37,1968,1960s
38,1969,1960s
39,1969,1960s
40,1970,1970s
41,1970,1970s
42,1971,1970s
43,1971,1970s
44,1972,1970s
45,1972,1970s
46,1973,1970s
47,1973,1970s
48,1974,1970s
49,1974,1970s
50,1975,1970s
51,1975,1970s
52,1976,1970s
53,1976,1970s
54,1977,1970s
55,1977,1970s
56,1978,1970s
57,1978,1970s
58,1979,1970s
59,1979,1970s
60,1980,1980s
61,1980,1980s
62,1981,1980s
63,1981,1980s
64,1982,1980s
65,1982,1980s
66,1983,1980s
67,1983,1980s
68,1984,1980s
69,1984,1980s
70,1985,1980s
71,1985,1980s
72,1986,1980s
73,1986,1980s
74,1987,1980s
75,1987,1980s
76,1988,1980s
77,1988,1980s
78,1989,1980s
79,1989,1980s
80,1990,1990s
81,1990,1990s
82,1991,1990s
83,1991,1990s
84,1992,1990s
85,1992,1990s
86,1993,1990s
87,1993,1990s
88,1994,1990s
89,1994,1990s
90,1995,1990s
91,1995,1990s
92,1996,1990s
93,1996,1990s
94,1997,1990s
95,1997,1990s
96,1998,1990s
97,1998,1990s
98,1999,1990s
99,1999,1990s
100,2000,2000s
101,2000,2000s
102,2001,2000s
103,2001,2000s
104,2002,2000s
105,2002,2000s
106,2003,2000s
107,2003,2000s
108,2004,2000s
109,2004,2000s
110,2005,2000s
111,2005,2000s
112,2006,2000s
113,2006,2000s
114,2007,2000s
115,2007,2000s
116,2008,2000s
117,2008,2000s
118,2009,2000s
119,2009,2000s
120,2010,2010s
121,2010,2010s
122,2011,2010s
123,2011,2010s
124,2012,2010s
125,2012,2010s
126,2013,2010s
127,2013,2010s
128,2014,2010s
129,2014,2010s
130,2015,2010s
131,2015,2010s
132,2016,2010s
133,2016,2010s
134,2017,2010s
135,2017,2010s
136,2018,2010s
137,2018,2010s
138,Goodnight Irene,1950
139,Mona Lisa,1950
140,Too Young,1951
141,Because of You,1951
142,Blue Tango,1952
143,Wheel of Fortune,1952
144,The Song from Moulin Rouge,1953
145,Vaya con Dios,1953
146,Little Things Mean a Lot,1954
147,Wanted,1954
148,Cherry Pink And Apple Blossom White,1955
149,Rock Around the Clock,1955
150,Heartbreak Hotel,1956
151,Don't Be Cruel,1956
152,All Shook Up,1957
153,Love Letters in the Sand,1957
154,Volare (Nel blu dipinto di blu),1958
155,All I Have to Do Is Dream / Claudette,1958
156,The Battle of New Orleans,1959
157,Mack the Knife,1959
158,Theme from A Summer Place,1960
159,He'll Have to Go,1960
160,Tossin' and Turnin',1961
161,I Fall to Pieces,1961
162,Stranger on the Shore,1962
163,I Can't Stop Loving You,1962
164,Surfin' U.S.A.,1963
165,The End of the World,1963
166,I Want to Hold Your Hand,1964
167,She Loves You,1964
168,Wooly Bully,1965
169,I Can't Help Myself (Sugar Pie Honey Bunch),1965
170,California Dreamin',1966
171,96 Tears,1966
172,To Sir With Love,1967
173,The Letter,1967
174,Hey Jude,1968
175,Love is Blue,1968
176,"Sugar, Sugar",1969
177,Aquarius/Let the Sunshine In,1969
178,Bridge Over Troubled Water,1970
179,(They Long to Be) Close to You,1970
180,Joy to the World,1971
181,Maggie May/Reason to Believe,1971
182,The First Time Ever I Saw Your Face,1972
183,Alone Again (Naturally),1972
184,Tie a Yellow Ribbon Round the Ole Oak Tree,1973
185,"Bad, Bad Leroy Brown",1973
186,The Way We Were,1974
187,Seasons in the Sun,1974
188,Love Will Keep Us Together,1975
189,Rhinestone Cowboy,1975
190,Silly Love Songs,1976
191,Don't Go Breaking My Heart,1976
192,Tonight's the Night (Gonna Be Alright),1977
193,I Just Want to Be Your Everything,1977
194,Shadow Dancing,1978
195,Night Fever,1978
196,My Sharona,1979
197,Bad Girls,1979
198,Call Me,1980
199,"Another Brick in the Wall, Part II",1980
200,Bette Davis Eyes,1981
201,Endless Love,1981
202,Physical,1982
203,Eye of the Tiger,1982
204,Every Breath You Take,1983
205,Billie Jean,1983
206,When Doves Cry,1984
207,What's Love Got to Do with It,1984
208,Careless Whisper,1985
209,Like a Virgin,1985
210,That's What Friends Are For,1986
211,"Say You, Say Me",1986
212,Walk Like an Egyptian,1987
213,Alone,1987
214,Faith,1988
215,Need You Tonight,1988
216,Look Away,1989
217,My Prerogative,1989
218,Hold On,1990
219,It Must Have Been Love,1990
220,(Everything I Do) I Do It for You,1991
221,I Wanna Sex You Up,1991
222,End of the Road,1992
223,Baby Got Back,1992
224,I Will Always Love You,1993
225,Whoomp! (There It Is),1993
226,The Sign,1994
227,I Swear,1994
228,Gangsta's Paradise,1995
229,Waterfalls,1995
230,Macarena (Bayside Boys Mix),1996
231,One Sweet Day,1996
232,Something About the Way You Look Tonight / Candle in the Wind 1997,1997
233,Foolish Games / You Were Meant for Me,1997
234,Too Close,1998
235,The Boy Is Mine,1998
236,Believe,1999
237,No Scrubs,1999
238,Breathe,2000
239,Smooth,2000
240,Hanging by a Moment,2001
241,Fallin',2001
242,How You Remind Me,2002
243,Foolish,2002
244,In Da Club,2003
245,Ignition (Remix),2003
246,Yeah!,2004
247,Burn,2004
248,We Belong Together,2005
249,Hollaback Girl,2005
250,Bad Day,2006
251,Temperature,2006
252,Irreplaceable,2007
253,Umbrella,2007
254,Low,2008
255,Bleeding Love,2008
256,Boom Boom Pow,2009
257,Poker Face,2009
258,Tik Tok,2010
259,Need You Now,2010
260,Rolling in the Deep,2011
261,Party Rock Anthem,2011
262,Somebody That I Used to Know,2012
263,Call Me Maybe,2012
264,Thrift Shop,2013
265,Blurred Lines,2013
266,Happy,2014
267,Dark Horse,2014
268,Uptown Funk,2015
269,Thinking Out Loud,2015
270,Love Yourself,2016
271,Sorry,2016
272,Shape of You,2017
273,Despacito (Remix),2017
274,God's Plan,2018
275,Perfect,2018
276,get,Goodnight Irene
277,marry,Goodnight Irene
278,irene,Goodnight Irene
279,town,Goodnight Irene
280,motion,Goodnight Irene
281,last,Goodnight Irene
282,great,Goodnight Irene
283,take,Goodnight Irene
284,country,Goodnight Irene
285,bright,Goodnight Irene
286,stroll,Goodnight Irene
287,stop,Goodnight Irene
288,live,Goodnight Irene
289,goodnight,Goodnight Irene
290,fireside,Goodnight Irene
291,stay,Goodnight Irene
292,ill,Goodnight Irene
293,sometimes,Goodnight Irene
294,na,Goodnight Irene
295,little,Goodnight Irene
296,ramblin,Goodnight Irene
297,drown,Goodnight Irene
298,wife,Goodnight Irene
299,night,Goodnight Irene
300,family,Goodnight Irene
301,part,Goodnight Irene
302,saturday,Goodnight Irene
303,gamblin,Goodnight Irene
304,see,Goodnight Irene
305,home,Goodnight Irene
306,gon,Goodnight Irene
307,jump,Goodnight Irene
308,river,Goodnight Irene
309,downtown,Goodnight Irene
310,late,Goodnight Irene
311,go,Goodnight Irene
312,settle,Goodnight Irene
313,dream,Goodnight Irene
314,cold,Mona Lisa
315,many,Mona Lisa
316,mystic,Mona Lisa
317,work,Mona Lisa
318,lisa,Mona Lisa
319,die,Mona Lisa
320,blame,Mona Lisa
321,like,Mona Lisa
322,lover,Mona Lisa
323,lie,Mona Lisa
324,real,Mona Lisa
325,youre,Mona Lisa
326,tempt,Mona Lisa
327,smile,Mona Lisa
328,lady,Mona Lisa
329,warm,Mona Lisa
330,broken,Mona Lisa
331,mona,Mona Lisa
332,hide,Mona Lisa
333,heart,Mona Lisa
334,cause,Mona Lisa
335,way,Mona Lisa
336,lonely,Mona Lisa
337,art,Mona Lisa
338,men,Mona Lisa
339,doorstep,Mona Lisa
340,name,Mona Lisa
341,bring,Mona Lisa
342,lovely,Mona Lisa
343,strangeness,Mona Lisa
344,dream,Mona Lisa
345,wish,Too Young
346,well,Too Young
347,wont,Too Young
348,someday,Too Young
349,shell,Too Young
350,shed,Too Young
351,like,Too Young
352,tell,Too Young
353,make,Too Young
354,steady,Too Young
355,sorry,Too Young
356,young,Too Young
357,act,Too Young
358,grow,Too Young
359,stone,Too Young
360,wild,Too Young
361,ready,Too Young
362,ever,Too Young
363,way,Too Young
364,child,Too Young
365,must,Too Young
366,always,Too Young
367,realize,Too Young
368,drive,Too Young
369,wait,Too Young
370,hear,Too Young
371,feel,Too Young
372,see,Too Young
373,may,Too Young
374,till,Too Young
375,go,Too Young
376,late,Too Young
377,say,Too Young
378,forever,Because of You
379,mine,Because of You
380,romance,Because of You
381,moon,Because of You
382,kiss,Because of You
383,like,Because of You
384,never,Because of You
385,theres,Because of You
386,youre,Because of You
387,life,Because of You
388,smile,Because of You
389,live,Because of You
390,love,Because of You
391,heart,Because of You
392,shine,Because of You
393,near,Because of You
394,sun,Because of You
395,part,Because of You
396,start,Because of You
397,worth,Because of You
398,star,Because of You
399,paradise,Because of You
400,say,Because of You
401,song,Because of You
402,desire,Blue Tango
403,hold,Blue Tango
404,cheek,Blue Tango
405,world,Blue Tango
406,arm,Blue Tango
407,first,Blue Tango
408,forget,Blue Tango
409,soon,Blue Tango
410,kiss,Blue Tango
411,know,Blue Tango
412,dance,Blue Tango
413,like,Blue Tango
414,meet,Blue Tango
415,blue,Blue Tango
416,recall,Blue Tango
417,ago,Blue Tango
418,express,Blue Tango
419,play,Blue Tango
420,tonight,Blue Tango
421,use,Blue Tango
422,violin,Blue Tango
423,love,Blue Tango
424,dont,Blue Tango
425,speak,Blue Tango
426,music,Blue Tango
427,tango,Blue Tango
428,day,Blue Tango
429,choir,Blue Tango
430,tune,Blue Tango
431,long,Blue Tango
432,tight,Blue Tango
433,couldnt,Blue Tango
434,spin,Wheel of Fortune
435,hop,Wheel of Fortune
436,somehow,Wheel of Fortune
437,sigh,Wheel of Fortune
438,im,Wheel of Fortune
439,kiss,Wheel of Fortune
440,know,Wheel of Fortune
441,yearn,Wheel of Fortune
442,wheel,Wheel of Fortune
443,fortune,Wheel of Fortune
444,flame,Wheel of Fortune
445,precious,Wheel of Fortune
446,smile,Wheel of Fortune
447,please,Wheel of Fortune
448,pas,Wheel of Fortune
449,arrow,Wheel of Fortune
450,ill,Wheel of Fortune
451,love,Wheel of Fortune
452,ever,Wheel of Fortune
453,dont,Wheel of Fortune
454,oh,Wheel of Fortune
455,way,Wheel of Fortune
456,turn,Wheel of Fortune
457,day,Wheel of Fortune
458,magic,Wheel of Fortune
459,hoping,Wheel of Fortune
460,sometime,Wheel of Fortune
461,point,Wheel of Fortune
462,win,Wheel of Fortune
463,fame,Wheel of Fortune
464,go,Wheel of Fortune
465,around,Wheel of Fortune
466,let,Wheel of Fortune
467,dream,Wheel of Fortune
468,even,Wheel of Fortune
469,someone,The Song from Moulin Rouge
470,im,The Song from Moulin Rouge
471,kiss,The Song from Moulin Rouge
472,eye,The Song from Moulin Rouge
473,wont,The Song from Moulin Rouge
474,spell,The Song from Moulin Rouge
475,like,The Song from Moulin Rouge
476,never,The Song from Moulin Rouge
477,youre,The Song from Moulin Rouge
478,cloud,The Song from Moulin Rouge
479,tell,The Song from Moulin Rouge
480,please,The Song from Moulin Rouge
481,else,The Song from Moulin Rouge
482,worry,The Song from Moulin Rouge
483,ever,The Song from Moulin Rouge
484,pretend,The Song from Moulin Rouge
485,break,The Song from Moulin Rouge
486,heart,The Song from Moulin Rouge
487,must,The Song from Moulin Rouge
488,always,The Song from Moulin Rouge
489,realize,The Song from Moulin Rouge
490,near,The Song from Moulin Rouge
491,melt,The Song from Moulin Rouge
492,thing,The Song from Moulin Rouge
493,may,The Song from Moulin Rouge
494,lip,The Song from Moulin Rouge
495,close,The Song from Moulin Rouge
496,sad,The Song from Moulin Rouge
497,youve,The Song from Moulin Rouge
498,darling,The Song from Moulin Rouge
499,wonder,The Song from Moulin Rouge
500,wherever,Vaya con Dios
501,con,Vaya con Dios
502,many,Vaya con Dios
503,dawn,Vaya con Dios
504,prayr,Vaya con Dios
505,town,Vaya con Dios
506,vaya,Vaya con Dios
507,time,Vaya con Dios
508,youre,Vaya con Dios
509,share,Vaya con Dios
510,youll,Vaya con Dios
511,come,Vaya con Dios
512,although,Vaya con Dios
513,away,Vaya con Dios
514,hasten,Vaya con Dios
515,million,Vaya con Dios
516,evry,Vaya con Dios
517,ring,Vaya con Dios
518,dark,Vaya con Dios
519,god,Vaya con Dios
520,gray,Vaya con Dios
521,sleep,Vaya con Dios
522,ill,Vaya con Dios
523,beside,Vaya con Dios
524,love,Vaya con Dios
525,hacienda,Vaya con Dios
526,break,Vaya con Dios
527,tomorrow,Vaya con Dios
528,weep,Vaya con Dios
529,bell,Vaya con Dios
530,heart,Vaya con Dios
531,sing,Vaya con Dios
532,lonely,Vaya con Dios
533,village,Vaya con Dios
534,borrow,Vaya con Dios
535,night,Vaya con Dios
536,hear,Vaya con Dios
537,day,Vaya con Dios
538,part,Vaya con Dios
539,memory,Vaya con Dios
540,mission,Vaya con Dios
541,darling,Vaya con Dios
542,may,Vaya con Dios
543,hour,Vaya con Dios
544,dios,Vaya con Dios
545,guide,Vaya con Dios
546,listen,Vaya con Dios
547,dream,Vaya con Dios
548,softly,Vaya con Dios
549,say,Vaya con Dios
550,cry,Little Things Mean a Lot
551,im,Little Things Mean a Lot
552,youre,Little Things Mean a Lot
553,show,Little Things Mean a Lot
554,bright,Little Things Mean a Lot
555,buy,Little Things Mean a Lot
556,cause,Little Things Mean a Lot
557,give,Little Things Mean a Lot
558,always,Little Things Mean a Lot
559,nice,Little Things Mean a Lot
560,hair,Little Things Mean a Lot
561,thing,Little Things Mean a Lot
562,far,Little Things Mean a Lot
563,care,Little Things Mean a Lot
564,say,Little Things Mean a Lot
565,champagne,Little Things Mean a Lot
566,forever,Little Things Mean a Lot
567,six,Little Things Mean a Lot
568,room,Little Things Mean a Lot
569,honey,Little Things Mean a Lot
570,mean,Little Things Mean a Lot
571,smile,Little Things Mean a Lot
572,touch,Little Things Mean a Lot
573,gray,Little Things Mean a Lot
574,shoulder,Little Things Mean a Lot
575,dont,Little Things Mean a Lot
576,little,Little Things Mean a Lot
577,much,Little Things Mean a Lot
578,cost,Little Things Mean a Lot
579,honestly,Little Things Mean a Lot
580,diamond,Little Things Mean a Lot
581,day,Little Things Mean a Lot
582,rely,Little Things Mean a Lot
583,dot,Little Things Mean a Lot
584,ive,Little Things Mean a Lot
585,whether,Little Things Mean a Lot
586,secret,Little Things Mean a Lot
587,forgot,Little Things Mean a Lot
588,sable,Little Things Mean a Lot
589,pass,Little Things Mean a Lot
590,across,Little Things Mean a Lot
591,chair,Little Things Mean a Lot
592,away,Little Things Mean a Lot
593,blow,Little Things Mean a Lot
594,havent,Little Things Mean a Lot
595,ever,Little Things Mean a Lot
596,arm,Little Things Mean a Lot
597,warmth,Little Things Mean a Lot
598,hand,Little Things Mean a Lot
599,kiss,Little Things Mean a Lot
600,never,Little Things Mean a Lot
601,send,Little Things Mean a Lot
602,lot,Little Things Mean a Lot
603,call,Little Things Mean a Lot
604,money,Little Things Mean a Lot
605,look,Little Things Mean a Lot
606,street,Little Things Mean a Lot
607,pearl,Little Things Mean a Lot
608,heart,Little Things Mean a Lot
609,way,Little Things Mean a Lot
610,cross,Little Things Mean a Lot
611,line,Little Things Mean a Lot
612,lose,Little Things Mean a Lot
613,hold,Wanted
614,someone,Wanted
615,arm,Wanted
616,confession,Wanted
617,trust,Wanted
618,jury,Wanted
619,kiss,Wanted
620,know,Wanted
621,guilty,Wanted
622,last,Wanted
623,forgive,Wanted
624,closely,Wanted
625,find,Wanted
626,one,Wanted
627,steal,Wanted
628,nothing,Wanted
629,ever,Wanted
630,id,Wanted
631,hide,Wanted
632,wed,Wanted
633,heart,Wanted
634,give,Wanted
635,could,Wanted
636,charm,Wanted
637,shes,Wanted
638,signed,Wanted
639,danger,Wanted
640,really,Wanted
641,part,Wanted
642,see,Wanted
643,repent,Wanted
644,may,Wanted
645,want,Wanted
646,warning,Wanted
647,fall,Cherry Pink And Apple Blossom White
648,cherry,Cherry Pink And Apple Blossom White
649,sigh,Cherry Pink And Apple Blossom White
650,intertwine,Cherry Pink And Apple Blossom White
651,join,Cherry Pink And Apple Blossom White
652,moon,Cherry Pink And Apple Blossom White
653,eye,Cherry Pink And Apple Blossom White
654,breeze,Cherry Pink And Apple Blossom White
655,lover,Cherry Pink And Apple Blossom White
656,boy,Cherry Pink And Apple Blossom White
657,meet,Cherry Pink And Apple Blossom White
658,youre,Cherry Pink And Apple Blossom White
659,story,Cherry Pink And Apple Blossom White
660,ago,Cherry Pink And Apple Blossom White
661,come,Cherry Pink And Apple Blossom White
662,carressed,Cherry Pink And Apple Blossom White
663,find,Cherry Pink And Apple Blossom White
664,write,Cherry Pink And Apple Blossom White
665,bright,Cherry Pink And Apple Blossom White
666,sight,Cherry Pink And Apple Blossom White
667,poet,Cherry Pink And Apple Blossom White
668,grow,Cherry Pink And Apple Blossom White
669,bride,Cherry Pink And Apple Blossom White
670,beside,Cherry Pink And Apple Blossom White
671,look,Cherry Pink And Apple Blossom White
672,love,Cherry Pink And Apple Blossom White
673,true,Cherry Pink And Apple Blossom White
674,apple,Cherry Pink And Apple Blossom White
675,white,Cherry Pink And Apple Blossom White
676,way,Cherry Pink And Apple Blossom White
677,two,Cherry Pink And Apple Blossom White
678,always,Cherry Pink And Apple Blossom White
679,tree,Cherry Pink And Apple Blossom White
680,pink,Cherry Pink And Apple Blossom White
681,gently,Cherry Pink And Apple Blossom White
682,start,Cherry Pink And Apple Blossom White
683,new,Cherry Pink And Apple Blossom White
684,long,Cherry Pink And Apple Blossom White
685,blossom,Cherry Pink And Apple Blossom White
686,go,Cherry Pink And Apple Blossom White
687,enthrall,Cherry Pink And Apple Blossom White
688,branch,Cherry Pink And Apple Blossom White
689,say,Cherry Pink And Apple Blossom White
690,strong,Rock Around the Clock
691,ten,Rock Around the Clock
692,right,Rock Around the Clock
693,join,Rock Around the Clock
694,put,Rock Around the Clock
695,twelve,Rock Around the Clock
696,strike,Rock Around the Clock
697,well,Rock Around the Clock
698,clock,Rock Around the Clock
699,six,Rock Around the Clock
700,fun,Rock Around the Clock
701,four,Rock Around the Clock
702,nine,Rock Around the Clock
703,one,Rock Around the Clock
704,tonight,Rock Around the Clock
705,ring,Rock Around the Clock
706,daylight,Rock Around the Clock
707,cool,Rock Around the Clock
708,ill,Rock Around the Clock
709,goin,Rock Around the Clock
710,na,Rock Around the Clock
711,slow,Rock Around the Clock
712,broad,Rock Around the Clock
713,two,Rock Around the Clock
714,glad,Rock Around the Clock
715,band,Rock Around the Clock
716,seventh,Rock Around the Clock
717,seven,Rock Around the Clock
718,heaven,Rock Around the Clock
719,five,Rock Around the Clock
720,eleven,Rock Around the Clock
721,yell,Rock Around the Clock
722,start,Rock Around the Clock
723,three,Rock Around the Clock
724,rockin,Rock Around the Clock
725,round,Rock Around the Clock
726,hon,Rock Around the Clock
727,rock,Rock Around the Clock
728,gon,Rock Around the Clock
729,oclock,Rock Around the Clock
730,rag,Rock Around the Clock
731,chime,Rock Around the Clock
732,til,Rock Around the Clock
733,around,Rock Around the Clock
734,eight,Rock Around the Clock
735,get,Heartbreak Hotel
736,hotel,Heartbreak Hotel
737,cry,Heartbreak Hotel
738,im,Heartbreak Hotel
739,well,Heartbreak Hotel
740,die,Heartbreak Hotel
741,clerk,Heartbreak Hotel
742,desk,Heartbreak Hotel
743,room,Heartbreak Hotel
744,lover,Heartbreak Hotel
745,never,Heartbreak Hotel
746,theyre,Heartbreak Hotel
747,tell,Heartbreak Hotel
748,youll,Heartbreak Hotel
749,find,Heartbreak Hotel
750,although,Heartbreak Hotel
751,take,Heartbreak Hotel
752,tale,Heartbreak Hotel
753,baby,Heartbreak Hotel
754,flowin,Heartbreak Hotel
755,back,Heartbreak Hotel
756,tear,Heartbreak Hotel
757,ill,Heartbreak Hotel
758,end,Heartbreak Hotel
759,street,Heartbreak Hotel
760,bellhop,Heartbreak Hotel
761,keep,Heartbreak Hotel
762,though,Heartbreak Hotel
763,crowd,Heartbreak Hotel
764,lonely,Heartbreak Hotel
765,still,Heartbreak Hotel
766,could,Heartbreak Hotel
767,always,Heartbreak Hotel
768,heartbreak,Heartbreak Hotel
769,brokenhearted,Heartbreak Hotel
770,gloom,Heartbreak Hotel
771,since,Heartbreak Hotel
772,theyll,Heartbreak Hotel
773,leave,Heartbreak Hotel
774,new,Heartbreak Hotel
775,long,Heartbreak Hotel
776,place,Heartbreak Hotel
777,dwell,Heartbreak Hotel
778,theyve,Heartbreak Hotel
779,dress,Heartbreak Hotel
780,sad,Heartbreak Hotel
781,black,Heartbreak Hotel
782,walk,Heartbreak Hotel
783,im,Don't Be Cruel
784,might,Don't Be Cruel
785,ahead,Don't Be Cruel
786,u,Don't Be Cruel
787,least,Don't Be Cruel
788,think,Don't Be Cruel
789,mad,Don't Be Cruel
790,bright,Don't Be Cruel
791,ill,Don't Be Cruel
792,love,Don't Be Cruel
793,want,Don't Be Cruel
794,say,Don't Be Cruel
795,forget,Don't Be Cruel
796,something,Don't Be Cruel
797,youll,Don't Be Cruel
798,make,Don't Be Cruel
799,find,Don't Be Cruel
800,come,Don't Be Cruel
801,alone,Don't Be Cruel
802,thinking,Don't Be Cruel
803,dont,Don't Be Cruel
804,telephone,Don't Be Cruel
805,sit,Don't Be Cruel
806,cant,Don't Be Cruel
807,future,Don't Be Cruel
808,know,Don't Be Cruel
809,apart,Don't Be Cruel
810,baby,Don't Be Cruel
811,cruel,Don't Be Cruel
812,true,Don't Be Cruel
813,really,Don't Be Cruel
814,walk,Don't Be Cruel
815,thats,Don't Be Cruel
816,preacher,Don't Be Cruel
817,past,Don't Be Cruel
818,please,Don't Be Cruel
819,stop,Don't Be Cruel
820,look,Don't Be Cruel
821,heart,Don't Be Cruel
822,way,Don't Be Cruel
823,cross,Don't Be Cruel
824,feel,Don't Be Cruel
825,home,Don't Be Cruel
826,around,Don't Be Cruel
827,let,Don't Be Cruel
828,ask,All Shook Up
829,im,All Shook Up
830,well,All Shook Up
831,leaf,All Shook Up
832,think,All Shook Up
833,fuzzy,All Shook Up
834,seem,All Shook Up
835,yay,All Shook Up
836,shaky,All Shook Up
837,love,All Shook Up
838,chill,All Shook Up
839,mind,All Shook Up
840,knee,All Shook Up
841,actin,All Shook Up
842,inside,All Shook Up
843,cure,All Shook Up
844,man,All Shook Up
845,say,All Shook Up
846,mm,All Shook Up
847,mine,All Shook Up
848,buttercup,All Shook Up
849,luck,All Shook Up
850,itchin,All Shook Up
851,like,All Shook Up
852,wella,All Shook Up
853,whatsa,All Shook Up
854,scar,All Shook Up
855,girl,All Shook Up
856,touch,All Shook Up
857,body,All Shook Up
858,wild,All Shook Up
859,wrong,All Shook Up
860,dont,All Shook Up
861,little,All Shook Up
862,bug,All Shook Up
863,mixed,All Shook Up
864,foot,All Shook Up
865,fine,All Shook Up
866,get,All Shook Up
867,cant,All Shook Up
868,hot,All Shook Up
869,proud,All Shook Up
870,volcano,All Shook Up
871,one,All Shook Up
872,tie,All Shook Up
873,try,All Shook Up
874,speak,All Shook Up
875,feelin,All Shook Up
876,tree,All Shook Up
877,shes,All Shook Up
878,death,All Shook Up
879,thats,All Shook Up
880,friend,All Shook Up
881,hand,All Shook Up
882,weak,All Shook Up
883,theres,All Shook Up
884,soul,All Shook Up
885,please,All Shook Up
886,tongue,All Shook Up
887,heart,All Shook Up
888,beat,All Shook Up
889,stand,All Shook Up
890,two,All Shook Up
891,shake,All Shook Up
892,near,All Shook Up
893,lip,All Shook Up
894,best,All Shook Up
895,bless,All Shook Up
896,ache,Love Letters in the Sand
897,cry,Love Letters in the Sand
898,laugh,Love Letters in the Sand
899,pass,Love Letters in the Sand
900,time,Love Letters in the Sand
901,today,Love Letters in the Sand
902,like,Love Letters in the Sand
903,make,Love Letters in the Sand
904,somehowthat,Love Letters in the Sand
905,take,Love Letters in the Sand
906,write,Love Letters in the Sand
907,away,Love Letters in the Sand
908,meant,Love Letters in the Sand
909,broken,Love Letters in the Sand
910,nothing,Love Letters in the Sand
911,sand,Love Letters in the Sand
912,love,Love Letters in the Sand
913,every,Love Letters in the Sand
914,true,Love Letters in the Sand
915,ever,Love Letters in the Sand
916,break,Love Letters in the Sand
917,letter,Love Letters in the Sand
918,heart,Love Letters in the Sand
919,saw,Love Letters in the Sand
920,day,Love Letters in the Sand
921,vow,Love Letters in the Sand
922,wave,Love Letters in the Sand
923,tide,Love Letters in the Sand
924,would,Love Letters in the Sand
925,cantare,Volare (Nel blu dipinto di blu)
926,con,Volare (Nel blu dipinto di blu)
927,faccia,Volare (Nel blu dipinto di blu)
928,tutti,Volare (Nel blu dipinto di blu)
929,blu,Volare (Nel blu dipinto di blu)
930,dal,Volare (Nel blu dipinto di blu)
931,tuoi,Volare (Nel blu dipinto di blu)
932,mi,Volare (Nel blu dipinto di blu)
933,mentre,Volare (Nel blu dipinto di blu)
934,volare,Volare (Nel blu dipinto di blu)
935,stelle,Volare (Nel blu dipinto di blu)
936,di,Volare (Nel blu dipinto di blu)
937,che,Volare (Nel blu dipinto di blu)
938,scompare,Volare (Nel blu dipinto di blu)
939,ed,Volare (Nel blu dipinto di blu)
940,è,Volare (Nel blu dipinto di blu)
941,volavo,Volare (Nel blu dipinto di blu)
942,tramonta,Volare (Nel blu dipinto di blu)
943,svaniscon,Volare (Nel blu dipinto di blu)
944,tua,Volare (Nel blu dipinto di blu)
945,venivo,Volare (Nel blu dipinto di blu)
946,dimprovviso,Volare (Nel blu dipinto di blu)
947,incominciavo,Volare (Nel blu dipinto di blu)
948,dipingevo,Volare (Nel blu dipinto di blu)
949,come,Volare (Nel blu dipinto di blu)
950,laggiù,Volare (Nel blu dipinto di blu)
951,felice,Volare (Nel blu dipinto di blu)
952,belli,Volare (Nel blu dipinto di blu)
953,e,Volare (Nel blu dipinto di blu)
954,suona,Volare (Nel blu dipinto di blu)
955,stare,Volare (Nel blu dipinto di blu)
956,soltanto,Volare (Nel blu dipinto di blu)
957,dipinto,Volare (Nel blu dipinto di blu)
958,li,Volare (Nel blu dipinto di blu)
959,spariva,Volare (Nel blu dipinto di blu)
960,per,Volare (Nel blu dipinto di blu)
961,ritorni,Volare (Nel blu dipinto di blu)
962,sono,Volare (Nel blu dipinto di blu)
963,le,Volare (Nel blu dipinto di blu)
964,perché,Volare (Nel blu dipinto di blu)
965,occhi,Volare (Nel blu dipinto di blu)
966,pian,Volare (Nel blu dipinto di blu)
967,la,Volare (Nel blu dipinto di blu)
968,voce,Volare (Nel blu dipinto di blu)
969,lontano,Volare (Nel blu dipinto di blu)
970,sogni,Volare (Nel blu dipinto di blu)
971,più,Volare (Nel blu dipinto di blu)
972,poi,Volare (Nel blu dipinto di blu)
973,sole,Volare (Nel blu dipinto di blu)
974,una,Volare (Nel blu dipinto di blu)
975,degli,Volare (Nel blu dipinto di blu)
976,negli,Volare (Nel blu dipinto di blu)
977,suonava,Volare (Nel blu dipinto di blu)
978,dolce,Volare (Nel blu dipinto di blu)
979,infinito,Volare (Nel blu dipinto di blu)
980,cielo,Volare (Nel blu dipinto di blu)
981,continuo,Volare (Nel blu dipinto di blu)
982,rapito,Volare (Nel blu dipinto di blu)
983,oh,Volare (Nel blu dipinto di blu)
984,mondo,Volare (Nel blu dipinto di blu)
985,sé,Volare (Nel blu dipinto di blu)
986,nel,Volare (Nel blu dipinto di blu)
