Id,Label,Type,Int Type
One Sweet Day,One Sweet Day,Song,2
Something About the Way You Look Tonight / Candle in the Wind 1997,Something About the Way You Look Tonight / Candle in the Wind 1997,Song,2
Foolish Games / You Were Meant for Me,Foolish Games / You Were Meant for Me,Song,2
Too Close,Too Close,Song,2
The Boy Is Mine,The Boy Is Mine,Song,2
Believe,Believe,Song,2
No Scrubs,No Scrubs,Song,2
Breathe,Breathe,Song,2
Smooth,Smooth,Song,2
Hanging by a Moment,Hanging by a Moment,Song,2
Fallin',Fallin',Song,2
How You Remind Me,How You Remind Me,Song,2
Foolish,Foolish,Song,2
In Da Club,In Da Club,Song,2
Ignition (Remix),Ignition (Remix),Song,2
Yeah!,Yeah!,Song,2
Burn,Burn,Song,2
We Belong Together,We Belong Together,Song,2
Hollaback Girl,Hollaback Girl,Song,2
Bad Day,Bad Day,Song,2
Temperature,Temperature,Song,2
Irreplaceable,Irreplaceable,Song,2
Umbrella,Umbrella,Song,2
Low,Low,Song,2
Bleeding Love,Bleeding Love,Song,2
Boom Boom Pow,Boom Boom Pow,Song,2
Poker Face,Poker Face,Song,2
Tik Tok,Tik Tok,Song,2
Need You Now,Need You Now,Song,2
Rolling in the Deep,Rolling in the Deep,Song,2
Party Rock Anthem,Party Rock Anthem,Song,2
Somebody That I Used to Know,Somebody That I Used to Know,Song,2
Call Me Maybe,Call Me Maybe,Song,2
Thrift Shop,Thrift Shop,Song,2
Blurred Lines,Blurred Lines,Song,2
Happy,Happy,Song,2
Dark Horse,Dark Horse,Song,2
Uptown Funk,Uptown Funk,Song,2
Thinking Out Loud,Thinking Out Loud,Song,2
Love Yourself,Love Yourself,Song,2
Sorry,Sorry,Song,2
Shape of You,Shape of You,Song,2
Despacito (Remix),Despacito (Remix),Song,2
God's Plan,God's Plan,Song,2
Perfect,Perfect,Song,2
get,get,Words,1
marry,marry,Words,1
irene,irene,Words,1
town,town,Words,1
motion,motion,Words,1
last,last,Words,1
great,great,Words,1
take,take,Words,1
country,country,Words,1
bright,bright,Words,1
stroll,stroll,Words,1
stop,stop,Words,1
live,live,Words,1
goodnight,goodnight,Words,1
fireside,fireside,Words,1
stay,stay,Words,1
ill,ill,Words,1
sometimes,sometimes,Words,1
na,na,Words,1
little,little,Words,1
ramblin,ramblin,Words,1
drown,drown,Words,1
wife,wife,Words,1
