Id,Label,Type,Int Type
star,star,Words,1
mouth,mouth,Words,1
bird,bird,Words,1
endless,endless,Words,1
gift,gift,Words,1
would,would,Words,1
cry,cry,Words,1
im,im,Words,1
visit,visit,Words,1
standing,standing,Words,1
well,well,Words,1
die,die,Words,1
truly,truly,Words,1
u,u,Words,1
remain,remain,Words,1
naturally,naturally,Words,1
talk,talk,Words,1
youre,youre,Words,1
think,think,Words,1
bright,bright,Words,1
mercy,mercy,Words,1
tough,tough,Words,1
seem,seem,Words,1
god,god,Words,1
back,back,Words,1
left,left,Words,1
gay,gay,Words,1
remember,remember,Words,1
love,love,Words,1
knock,knock,Words,1
hide,hide,Words,1
start,start,Words,1
want,want,Words,1
sixtyfive,sixtyfive,Words,1
man,man,Words,1
say,say,Words,1
forward,forward,Words,1
world,world,Words,1
wish,wish,Words,1
mend,mend,Words,1
like,like,Words,1
make,make,Words,1
come,come,Words,1
church,church,Words,1
touch,touch,Words,1
alone,alone,Words,1
wouldnt,wouldnt,Words,1
little,little,Words,1
much,much,Words,1
top,top,Words,1
less,less,Words,1
leave,leave,Words,1
day,day,Words,1
mere,mere,Words,1
tower,tower,Words,1
without,without,Words,1
whatever,whatever,Words,1
badly,badly,Words,1
go,go,Words,1
old,old,Words,1
cheerful,cheerful,Words,1
encouragement,encouragement,Words,1
cant,cant,Words,1
shatter,shatter,Words,1
pass,pass,Words,1
know,know,Words,1
doubt,doubt,Words,1
away,away,Words,1
yesterday,yesterday,Words,1
effort,effort,Words,1
broken,broken,Words,1
tear,tear,Words,1
cut,cut,Words,1
ever,ever,Words,1
oh,oh,Words,1
father,father,Words,1
really,really,Words,1
desert,desert,Words,1
rest,rest,Words,1
throw,throw,Words,1
may,may,Words,1
role,role,Words,1
understand,understand,Words,1
couldnt,couldnt,Words,1
appear,appear,Words,1
word,word,Words,1
thats,thats,Words,1
piece,piece,Words,1
promise,promise,Words,1
never,never,Words,1
soul,soul,Words,1
mother,mother,Words,1
exist,exist,Words,1
take,take,Words,1
play,play,Words,1
treat,treat,Words,1
sour,sour,Words,1
else,else,Words,1
reality,reality,Words,1
clear,clear,Words,1
look,look,Words,1
despite,despite,Words,1
lurch,lurch,Words,1
people,people,Words,1
break,break,Words,1
nearby,nearby,Words,1
heart,heart,Words,1
stand,stand,Words,1
climb,climb,Words,1
unattended,unattended,Words,1
indeed,indeed,Words,1
need,need,Words,1
whoever,whoever,Words,1
feel,feel,Words,1
year,year,Words,1
home,home,Words,1
hour,hour,Words,1
point,point,Words,1
around,around,Words,1
oak,oak,Words,1
im,im,Words,1
might,might,Words,1
put,put,Words,1
soon,soon,Words,1
blame,blame,Words,1
u,u,Words,1
ribbon,ribbon,Words,1
bus,bus,Words,1
yellow,yellow,Words,1
stay,stay,Words,1
ill,ill,Words,1
love,love,Words,1
letter,letter,Words,1
receive,receive,Words,1
cause,cause,Words,1
still,still,Words,1
three,three,Words,1
see,see,Words,1
damn,damn,Words,1
want,want,Words,1
hold,hold,Words,1
mine,mine,Words,1
forget,forget,Words,1
youll,youll,Words,1
simple,simple,Words,1
write,write,Words,1
hundred,hundred,Words,1
believe,believe,Words,1
dont,dont,Words,1
isnt,isnt,Words,1
ive,ive,Words,1
get,get,Words,1
cant,cant,Words,1
know,know,Words,1
set,set,Words,1
time,time,Words,1
tell,tell,Words,1
whole,whole,Words,1
driver,driver,Words,1
tie,tie,Words,1
ole,ole,Words,1
tree,tree,Words,1
really,really,Words,1
free,free,Words,1
round,round,Words,1
long,long,Words,1
comin,comin,Words,1
cheerin,cheerin,Words,1
couldnt,couldnt,Words,1
bear,bear,Words,1
please,please,Words,1
whoa,whoa,Words,1
look,look,Words,1
id,id,Words,1
need,need,Words,1
year,year,Words,1
key,key,Words,1
prison,prison,Words,1
home,home,Words,1
cast,cast,Words,1
pocket,pocket,Words,1
learn,learn,Words,1
good,good,Words,1
soon,soon,Words,1
well,well,Words,1
floor,floor,Words,1
fun,fun,Words,1
side,side,Words,1
trouble,trouble,Words,1
south,south,Words,1
week,week,Words,1
continental,continental,Words,1
brown,brown,Words,1
puzzle,puzzle,Words,1
nice,nice,Words,1
men,men,Words,1
begin,begin,Words,1
edge,edge,Words,1
see,see,Words,1
damn,damn,Words,1
shootin,shootin,Words,1
wife,wife,Words,1
man,man,Words,1
messin,messin,Words,1
bar,bar,Words,1
everybodys,everybodys,Words,1
bad,bad,Words,1
six,six,Words,1
couple,couple,Words,1
lover,lover,Words,1
like,like,Words,1
chicago,chicago,Words,1
four,four,Words,1
friday,friday,Words,1
bout,bout,Words,1
front,front,Words,1
lady,lady,Words,1
girl,girl,Words,1
shoe,shoe,Words,1
gambler,gambler,Words,1
jigsaw,jigsaw,Words,1
diamond,diamond,Words,1
foot,foot,Words,1
jealous,jealous,Words,1
baddest,baddest,Words,1
junkyard,junkyard,Words,1
treetop,treetop,Words,1
go,go,Words,1
old,old,Words,1
get,get,Words,1
sit,sit,Words,1
sir,sir,Words,1
town,town,Words,1
beware,beware,Words,1
clothes,clothes,Words,1
kong,kong,Words,1
eye,eye,Words,1
ago,ago,Words,1
whole,whole,Words,1
ring,ring,Words,1
thirty,thirty,Words,1
lesson,lesson,Words,1
king,king,Words,1
fancy,fancy,Words,1
leroy,leroy,Words,1
custom,custom,Words,1
oo,oo,Words,1
wave,wave,Words,1
pull,pull,Words,1
eldorado,eldorado,Words,1
piece,piece,Words,1
upon,upon,Words,1
badder,badder,Words,1
meaner,meaner,Words,1
razor,razor,Words,1
dice,dice,Words,1
take,take,Words,1
doris,doris,Words,1
call,call,Words,1
fight,fight,Words,1
look,look,Words,1
stand,stand,Words,1
two,two,Words,1
nose,nose,Words,1
part,part,Words,1
name,name,Words,1
downtown,downtown,Words,1
gun,gun,Words,1
dog,dog,Words,1
light,light,Words,1
choose,choose,Words,1
watercolor,watercolor,Words,1
forget,forget,Words,1
whenever,whenever,Words,1
yet,yet,Words,1
time,time,Words,1
picture,picture,Words,1
tell,tell,Words,1
simple,simple,Words,1
chance,chance,Words,1
one,one,Words,1
smile,smile,Words,1
painful,painful,Words,1
beautiful,beautiful,Words,1
remember,remember,Words,1
every,every,Words,1
misty,misty,Words,1
way,way,Words,1
give,give,Words,1
laughter,laughter,Words,1
could,could,Words,1
leave,leave,Words,1
mind,mind,Words,1
line,line,Words,1
simply,simply,Words,1
memory,memory,Words,1
rewrite,rewrite,Words,1
may,may,Words,1
another,another,Words,1
corner,corner,Words,1
behind,behind,Words,1
whats,whats,Words,1
scatter,scatter,Words,1
would,would,Words,1
learn,learn,Words,1
sheep,sheep,Words,1
die,die,Words,1
together,together,Words,1
fun,fun,Words,1
think,think,Words,1
michelle,michelle,Words,1
back,back,Words,1
climbed,climbed,Words,1
ill,ill,Words,1
love,love,Words,1
give,give,Words,1
always,always,Words,1
since,since,Words,1
sky,sky,Words,1
knee,knee,Words,1
see,see,Words,1
would,would,Words,1
papa,papa,Words,1
trust,trust,Words,1
wish,wish,Words,1
like,like,Words,1
find,find,Words,1
come,come,Words,1
teach,teach,Words,1
girl,girl,Words,1
wrong,wrong,Words,1
every,every,Words,1
little,little,Words,1
much,much,Words,1
skin,skin,Words,1
sun,sun,Words,1
foot,foot,Words,1
pretty,pretty,Words,1
season,season,Words,1
go,go,Words,1
goodbye,goodbye,Words,1
black,black,Words,1
get,get,Words,1
ten,ten,Words,1
right,right,Words,1
weve,weve,Words,1
know,know,Words,1
along,along,Words,1
time,time,Words,1
nine,nine,Words,1
one,one,Words,1
help,help,Words,1
hard,hard,Words,1
spring,spring,Words,1
try,try,Words,1
sing,sing,Words,1
tree,tree,Words,1
could,could,Words,1
family,family,Words,1
wonder,wonder,Words,1
wine,wine,Words,1
song,song,Words,1
friend,friend,Words,1
ground,ground,Words,1
pray,pray,Words,1
air,air,Words,1
abc,abc,Words,1
please,please,Words,1
everywhere,everywhere,Words,1
hill,hill,Words,1
heart,heart,Words,1
child,child,Words,1
climb,climb,Words,1
joy,joy,Words,1
flower,flower,Words,1
bird,bird,Words,1
around,around,Words,1
mess,mess,Words,1
good,good,Words,1
wont,wont,Words,1
u,u,Words,1
together,together,Words,1
talk,talk,Words,1
think,think,Words,1
ill,ill,Words,1
love,love,Words,1
sound,sound,Words,1
cause,cause,Words,1
belong,belong,Words,1
start,start,Words,1
say,say,Words,1
forever,forever,Words,1
bababababa,bababababa,Words,1
whenever,whenever,Words,1
someday,someday,Words,1
come,come,Words,1
babe,babe,Words,1
girl,girl,Words,1
beautiful,beautiful,Words,1
wholl,wholl,Words,1
na,na,Words,1
dont,dont,Words,1
turn,turn,Words,1
youve,youve,Words,1
whatever,whatever,Words,1
gon,gon,Words,1
others,others,Words,1
go,go,Words,1
get,get,Words,1
along,along,Words,1
set,set,Words,1
young,young,Words,1
sing,sing,Words,1
sweettalking,sweettalking,Words,1
really,really,Words,1
hear,hear,Words,1
free,free,Words,1
aint,aint,Words,1
song,song,Words,1
strong,strong,Words,1
hang,hang,Words,1
share,share,Words,1
stop,stop,Words,1
look,look,Words,1
pretend,pretend,Words,1
keep,keep,Words,1
heart,heart,Words,1
need,need,Words,1
around,around,Words,1
let,let,Words,1
horse,horse,Words,1
light,light,Words,1
load,load,Words,1
im,im,Words,1
sidewalk,sidewalk,Words,1
well,well,Words,1
youre,youre,Words,1
ill,ill,Words,1
hide,hide,Words,1
letter,letter,Words,1
dollar,dollar,Words,1
nice,nice,Words,1
therell,therell,Words,1
mind,mind,Words,1
inside,inside,Words,1
thing,thing,Words,1
crack,crack,Words,1
cowboy,cowboy,Words,1
tuck,tuck,Words,1
token,token,Words,1
rhinestone,rhinestone,Words,1
like,like,Words,1
smile,smile,Words,1
road,road,Words,1
walkin,walkin,Words,1
guy,guy,Words,1
every,every,Words,1
na,na,Words,1
shoe,shoe,Words,1
rodeo,rodeo,Words,1
dont,dont,Words,1
ridin,ridin,Words,1
wash,wash,Words,1
ive,ive,Words,1
gon,gon,Words,1
pain,pain,Words,1
old,old,Words,1
singin,singin,Words,1
dream,dream,Words,1
get,get,Words,1
card,card,Words,1
dirty,dirty,Words,1
know,know,Words,1
hustle,hustle,Words,1
away,away,Words,1
subway,subway,Words,1
really,really,Words,1
long,long,Words,1
comin,comin,Words,1
rain,rain,Words,1
broadway,broadway,Words,1
compromisin,compromisin,Words,1
song,song,Words,1
offer,offer,Words,1
even,even,Words,1
thats,thats,Words,1
shinin,shinin,Words,1
theres,theres,Words,1
game,game,Words,1
street,street,Words,1
horizon,horizon,Words,1
people,people,Words,1
takin,takin,Words,1
way,way,Words,1
gettin,gettin,Words,1
name,name,Words,1
rid,rid,Words,1
phone,phone,Words,1
snow,snow,Words,1
train,train,Words,1
starspangled,starspangled,Words,1
fill,fill,Words,1
world,world,Words,1
im,im,Words,1
cant,cant,Words,1
plain,plain,Words,1
know,know,Words,1
say,say,Words,1
like,like,Words,1
tell,tell,Words,1
come,come,Words,1
think,think,Words,1
minute,minute,Words,1
one,one,Words,1
feeling,feeling,Words,1
wrong,wrong,Words,1
sometimes,sometimes,Words,1
love,love,Words,1
look,look,Words,1
id,id,Words,1
people,people,Words,1
oh,oh,Words,1
cause,cause,Words,1
give,give,Words,1
youd,youd,Words,1
ah,ah,Words,1
doesnt,doesnt,Words,1
isnt,isnt,Words,1
explain,explain,Words,1
need,need,Words,1
loved,loved,Words,1
see,see,Words,1
silly,silly,Words,1
want,want,Words,1
whats,whats,Words,1
go,go,Words,1
around,around,Words,1
enough,enough,Words,1
would,would,Words,1
song,song,Words,1
nobody,nobody,Words,1
get,get,Words,1
weight,weight,Words,1
spark,spark,Words,1
right,right,Words,1
kind,kind,Words,1
light,light,Words,1
put,put,Words,1
know,know,Words,1
wont,wont,Words,1
u,u,Words,1
honey,honey,Words,1
youre,youre,Words,1
tell,tell,Words,1
make,make,Words,1
life,life,Words,1
babe,babe,Words,1
take,take,Words,1
show,show,Words,1
think,think,Words,1
flame,flame,Words,1
baby,baby,Words,1
sight,sight,Words,1
try,try,Words,1
misunderstand,misunderstand,Words,1
knock,knock,Words,1
restless,restless,Words,1
break,break,Words,1
dont,dont,Words,1
heart,heart,Words,1
cause,cause,Words,1
door,door,Words,1
give,give,Words,1
start,start,Words,1
key,key,Words,1
ive,ive,Words,1
go,go,Words,1
couldnt,couldnt,Words,1
clown,clown,Words,1
desire,desire,Words,1
good,good,Words,1
u,u,Words,1
upstairs,upstairs,Words,1
french,french,Words,1
back,back,Words,1
stay,stay,Words,1
loosen,loosen,Words,1
love,love,Words,1
cause,cause,Words,1
inside,inside,Words,1
spread,spread,Words,1
draw,draw,Words,1
alright,alright,Words,1
man,man,Words,1
say,say,Words,1
pour,pour,Words,1
nobody,nobody,Words,1
virgin,virgin,Words,1
come,come,Words,1
fool,fool,Words,1
tonight,tonight,Words,1
relax,relax,Words,1
girl,girl,Words,1
wild,wild,Words,1
na,na,Words,1
shoe,shoe,Words,1
dont,dont,Words,1
unfold,unfold,Words,1
pretty,pretty,Words,1
gon,gon,Words,1
secret,secret,Words,1
telephone,telephone,Words,1
old,old,Words,1
sit,sit,Words,1
right,right,Words,1
hesitate,hesitate,Words,1
woman,woman,Words,1
away,away,Words,1
baby,baby,Words,1
deny,deny,Words,1
gown,gown,Words,1
ooh,ooh,Words,1
drink,drink,Words,1
youd,youd,Words,1
night,night,Words,1
long,long,Words,1
aint,aint,Words,1
kick,kick,Words,1
blind,blind,Words,1
word,word,Words,1
inhibition,inhibition,Words,1
window,window,Words,1
wing,wing,Words,1
stop,stop,Words,1
run,run,Words,1
heart,heart,Words,1
door,door,Words,1
child,child,Words,1
disconnect,disconnect,Words,1
line,line,Words,1
angel,angel,Words,1
fire,fire,Words,1
tide,tide,Words,1
let,let,Words,1
everything,everything,Words,1
ask,ask,Words,1
tour,tour,Words,1
die,die,Words,1
youre,youre,Words,1
stay,stay,Words,1
love,love,Words,1
give,give,Words,1
bring,bring,Words,1
see,see,Words,1
thing,thing,Words,1
want,want,Words,1
would,would,Words,1
forever,forever,Words,1
mine,mine,Words,1
world,world,Words,1
find,find,Words,1
girl,girl,Words,1
feeling,feeling,Words,1
build,build,Words,1
puppet,puppet,Words,1
little,little,Words,1
open,open,Words,1
turn,turn,Words,1
wait,wait,Words,1
without,without,Words,1
watch,watch,Words,1
lay,lay,Words,1
oh,oh,Words,1
heaven,heaven,Words,1
string,string,Words,1
long,long,Words,1
wine,wine,Words,1
strong,strong,Words,1
anything,anything,Words,1
take,take,Words,1
id,id,Words,1
heart,heart,Words,1
shine,shine,Words,1
key,key,Words,1
feel,feel,Words,1
darling,darling,Words,1
lip,lip,Words,1
around,around,Words,1
let,let,Words,1
light,light,Words,1
dance,dance,Words,1
floor,floor,Words,1
u,u,Words,1
youre,youre,Words,1
answer,answer,Words,1
love,love,Words,1
end,end,Words,1
question,question,Words,1
head,head,Words,1
give,give,Words,1
see,see,Words,1
say,say,Words,1
hold,hold,Words,1
mine,mine,Words,1
world,world,Words,1
harm,harm,Words,1
affection,affection,Words,1
make,make,Words,1
come,come,Words,1
nothing,nothing,Words,1
living,living,Words,1
leave,leave,Words,1
sweet,sweet,Words,1
get,get,Words,1
direction,direction,Words,1
right,right,Words,1
cant,cant,Words,1
across,across,Words,1
eye,eye,Words,1
know,know,Words,1
tell,tell,Words,1
one,one,Words,1
baby,baby,Words,1
away,away,Words,1
ah,ah,Words,1
heaven,heaven,Words,1
night,night,Words,1
breath,breath,Words,1
aint,aint,Words,1
rain,rain,Words,1
pull,pull,Words,1
even,even,Words,1
shadow,shadow,Words,1
word,word,Words,1
arm,arm,Words,1
lie,lie,Words,1
take,take,Words,1
moment,moment,Words,1
sensation,sensation,Words,1
look,look,Words,1
people,people,Words,1
way,way,Words,1
shine,shine,Words,1
chase,chase,Words,1
drag,drag,Words,1
need,need,Words,1
lose,lose,Words,1
light,light,Words,1
im,im,Words,1
heat,heat,Words,1
move,move,Words,1
u,u,Words,1
last,last,Words,1
fever,fever,Words,1
show,show,Words,1
love,love,Words,1
control,control,Words,1
makin,makin,Words,1
give,give,Words,1
mind,mind,Words,1
wind,wind,Words,1
reach,reach,Words,1
mine,mine,Words,1
gim,gim,Words,1
something,something,Words,1
make,make,Words,1
borne,borne,Words,1
walkin,walkin,Words,1
dont,dont,Words,1
livin,livin,Words,1
fine,fine,Words,1
warnin,warnin,Words,1
sweet,sweet,Words,1
get,get,Words,1
right,right,Words,1
know,know,Words,1
yeah,yeah,Words,1
woman,woman,Words,1
help,help,Words,1
mornin,mornin,Words,1
steal,steal,Words,1
dark,dark,Words,1
high,high,Words,1
feelin,feelin,Words,1
music,music,Words,1
night,night,Words,1
glowin,glowin,Words,1
wave,wave,Words,1
listen,listen,Words,1
enough,enough,Words,1
ground,ground,Words,1
soul,soul,Words,1
share,share,Words,1
take,take,Words,1
moment,moment,Words,1
air,air,Words,1
goin,goin,Words,1
prayin,prayin,Words,1
need,need,Words,1
feel,feel,Words,1
dancin,dancin,Words,1
city,city,Words,1
somethin,somethin,Words,1
fire,fire,Words,1
movement,movement,Words,1
around,around,Words,1
get,get,Words,1
mystery,mystery,Words,1
kind,kind,Words,1
dirty,dirty,Words,1
ayeaye,ayeaye,Words,1
awill,awill,Words,1
ya,ya,Words,1
eye,eye,Words,1
ddestiny,ddestiny,Words,1
time,time,Words,1
never,never,Words,1
make,make,Words,1
come,come,Words,1
mmmmy,mmmmy,Words,1
matter,matter,Words,1
one,one,Words,1
young,young,Words,1
stop,stop,Words,1
mmmmmmmmy,mmmmmmmmy,Words,1
oooooooohhh,oooooooohhh,Words,1
touch,touch,Words,1
game,game,Words,1
whoa,whoa,Words,1
na,na,Words,1
run,run,Words,1
look,look,Words,1
keep,keep,Words,1
sharona,sharona,Words,1
ooh,ooh,Words,1
little,little,Words,1
motor,motor,Words,1
give,give,Words,1
always,always,Words,1
huh,huh,Words,1
mind,mind,Words,1
line,line,Words,1
pretty,pretty,Words,1
dddestiny,dddestiny,Words,1
close,close,Words,1
gon,gon,Words,1
thigh,thigh,Words,1
enough,enough,Words,1
gift,gift,Words,1
length,length,Words,1
everybody,everybody,Words,1
ask,ask,Words,1
pocket,pocket,Words,1
good,good,Words,1
wont,wont,Words,1
talk,talk,Words,1
youre,youre,Words,1
stranger,stranger,Words,1
legs,legs,Words,1
mama,mama,Words,1
ill,ill,Words,1
naughty,naughty,Words,1
pick,pick,Words,1
dime,dime,Words,1
see,see,Words,1
far,far,Words,1
sad,sad,Words,1
want,want,Words,1
star,star,Words,1
mister,mister,Words,1
hey,hey,Words,1
names,names,Words,1
bad,bad,Words,1
like,like,Words,1
friday,friday,Words,1
come,come,Words,1
find,find,Words,1
spend,spend,Words,1
girl,girl,Words,1
walkin,walkin,Words,1
na,na,Words,1
dont,dont,Words,1
spirit,spirit,Words,1
sun,sun,Words,1
go,go,Words,1
get,get,Words,1
right,right,Words,1
kind,kind,Words,1
different,different,Words,1
cant,cant,Words,1
hot,hot,Words,1
time,time,Words,1
yeah,yeah,Words,1
wan,wan,Words,1
baby,baby,Words,1
talkin,talkin,Words,1
trot,trot,Words,1
beebeep,beebeep,Words,1
high,high,Words,1
beep,beep,Words,1
oh,oh,Words,1
uh,uh,Words,1
night,night,Words,1
toot,toot,Words,1
theyre,theyre,Words,1
call,call,Words,1
else,else,Words,1
look,look,Words,1
street,street,Words,1
strip,strip,Words,1
huh,huh,Words,1
near,near,Words,1
need,need,Words,1
price,price,Words,1
name,name,Words,1
score,score,Words,1
tight,tight,Words,1
get,get,Words,1
chiamami,chiamami,Words,1
ride,ride,Words,1
amore,amore,Words,1
kiss,kiss,Words,1
know,know,Words,1
car,car,Words,1
design,design,Words,1
never,never,Words,1
lover,lover,Words,1
youre,youre,Words,1
share,share,Words,1
cherie,cherie,Words,1
anyplace,anyplace,Words,1
come,come,Words,1
baby,baby,Words,1
language,language,Words,1
emotion,emotion,Words,1
dayay,dayay,Words,1
call,call,Words,1
sheet,sheet,Words,1
roll,roll,Words,1
love,love,Words,1
ill,ill,Words,1
ready,ready,Words,1
anywhere,anywhere,Words,1
speak,speak,Words,1
dont,dont,Words,1
oh,oh,Words,1
mon,mon,Words,1
anytime,anytime,Words,1
color,color,Words,1
way,way,Words,1
overtime,overtime,Words,1
ah,ah,Words,1
night,night,Words,1
chart,chart,Words,1
designer,designer,Words,1
line,line,Words,1
day,day,Words,1
alibi,alibi,Words,1
appellemoi,appellemoi,Words,1
darling,darling,Words,1
sweet,sweet,Words,1
wine,wine,Words,1
enough,enough,Words,1
cover,cover,Words,1
meat,meat,Words,1
pudding,pudding,Words,1
cant,cant,Words,1
wall,wall,Words,1
eat,eat,Words,1
shed,shed,Words,1
youre,youre,Words,1
yer,yer,Words,1
brick,brick,Words,1
bike,bike,Words,1
dark,dark,Words,1
alone,alone,Words,1
classroom,classroom,Words,1
wrong,wrong,Words,1
dont,dont,Words,1
control,control,Words,1
laddy,laddy,Words,1
stand,stand,Words,1
still,still,Words,1
yes,yes,Words,1
leave,leave,Words,1
need,need,Words,1
education,education,Words,1
thought,thought,Words,1
kid,kid,Words,1
another,another,Words,1
teacher,teacher,Words,1
behind,behind,Words,1
hey,hey,Words,1
sarcasm,sarcasm,Words,1
york,york,Words,1
good,good,Words,1
wont,wont,Words,1
blue,blue,Words,1
think,think,Words,1
tease,tease,Words,1
hair,hair,Words,1
new,new,Words,1
shell,shell,Words,1
appetite,appetite,Words,1
harlow,harlow,Words,1
like,like,Words,1
pro,pro,Words,1
make,make,Words,1
come,come,Words,1
expose,expose,Words,1
whet,whet,Words,1
twice,twice,Words,1
turn,turn,Words,1
foot,foot,Words,1
ferocious,ferocious,Words,1
greta,greta,Words,1
sighs,sighs,Words,1
sweet,sweet,Words,1
unease,unease,Words,1
get,get,Words,1
cold,cold,Words,1
crumb,crumb,Words,1
eye,eye,Words,1
know,know,Words,1
pure,pure,Words,1
tumble,tumble,Words,1
standoff,standoff,Words,1
lay,lay,Words,1
gold,gold,Words,1
blush,blush,Words,1
spy,spy,Words,1
music,music,Words,1
shes,shes,Words,1
surprise,surprise,Words,1
throw,throw,Words,1
davis,davis,Words,1
precocious,precocious,Words,1
hand,hand,Words,1
boy,boy,Words,1
never,never,Words,1
take,take,Words,1
dice,dice,Words,1
please,please,Words,1
throne,throne,Words,1
bette,bette,Words,1
garbo,garbo,Words,1
roll,roll,Words,1
lip,lip,Words,1
home,home,Words,1
snow,snow,Words,1
let,let,Words,1
im,im,Words,1
youre,youre,Words,1
bright,bright,Words,1
ill,ill,Words,1
love,love,Words,1
cause,cause,Words,1
give,give,Words,1
yes,yes,Words,1
always,always,Words,1
begin,begin,Words,1
boom,boom,Words,1
mind,mind,Words,1
inside,inside,Words,1
thing,thing,Words,1
care,care,Words,1
ohh,ohh,Words,1
want,want,Words,1
hold,hold,Words,1
forever,forever,Words,1
world,world,Words,1
mean,mean,Words,1
youll,youll,Words,1
make,make,Words,1
fool,fool,Words,1
find,find,Words,1
every,every,Words,1
sure,sure,Words,1
dont,dont,Words,1
much,much,Words,1
charm,charm,Words,1
resist,resist,Words,1
ive,ive,Words,1
cant,cant,Words,1
eye,eye,Words,1
know,know,Words,1
tell,tell,Words,1
life,life,Words,1
one,one,Words,1
deny,deny,Words,1
oh,oh,Words,1
ooh,ooh,Words,1
breath,breath,Words,1
endless,endless,Words,1
thats,thats,Words,1
arm,arm,Words,1
first,first,Words,1
theres,theres,Words,1
share,share,Words,1
take,take,Words,1
else,else,Words,1
heart,heart,Words,1
beat,beat,Words,1
two,two,Words,1
close,close,Words,1
step,step,Words,1
get,get,Words,1
right,right,Words,1
im,im,Words,1
movie,movie,Words,1
holdin,holdin,Words,1
restaurant,restaurant,Words,1
good,good,Words,1
hand,hand,Words,1
know,know,Words,1
animal,animal,Words,1
like,like,Words,1
conversation,conversation,Words,1
talk,talk,Words,1
mean,mean,Words,1
youll,youll,Words,1
make,make,Words,1
view,view,Words,1
youre,youre,Words,1
take,take,Words,1
suggestive,suggestive,Words,1
hard,hard,Words,1
back,back,Words,1
body,body,Words,1
try,try,Words,1
nothing,nothing,Words,1
sure,sure,Words,1
intimate,intimate,Words,1
keep,keep,Words,1
horizontally,horizontally,Words,1
patient,patient,Words,1
oh,oh,Words,1
table,table,Words,1
ta,ta,Words,1
leave,leave,Words,1
hear,hear,Words,1
handle,handle,Words,1
gettin,gettin,Words,1
thing,thing,Words,1
mentally,mentally,Words,1
ive,ive,Words,1
physical,physical,Words,1
want,want,Words,1
understand,understand,Words,1
point,point,Words,1
bringin,bringin,Words,1
unless,unless,Words,1
let,let,Words,1
say,say,Words,1
stalk,stalk,Words,1
distance,distance,Words,1
im,im,Words,1
heat,heat,Words,1
u,u,Words,1
last,last,Words,1
tough,tough,Words,1
back,back,Words,1
gut,gut,Words,1
rival,rival,Words,1
odds,odds,Words,1
must,must,Words,1
glory,glory,Words,1
trade,trade,Words,1
man,man,Words,1
many,many,Words,1
skill,skill,Words,1
happen,happen,Words,1
hungry,hungry,Words,1
straight,straight,Words,1
hangin,hangin,Words,1
passion,passion,Words,1
na,na,Words,1
dont,dont,Words,1
known,known,Words,1
stack,stack,Words,1
top,top,Words,1
foot,foot,Words,1
till,till,Words,1
gon,gon,Words,1
go,go,Words,1
dream,dream,Words,1
tiger,tiger,Words,1
get,get,Words,1
face,face,Words,1
eye,eye,Words,1
time,time,Words,1
prey,prey,Words,1
chance,chance,Words,1
risin,risin,Words,1
kill,kill,Words,1
night,night,Words,1
thrill,thrill,Words,1
fast,fast,Words,1
survive,survive,Words,1
survivor,survivor,Words,1
alive,alive,Words,1
take,take,Words,1
past,past,Words,1
stop,stop,Words,1
stayin,stayin,Words,1
fight,fight,Words,1
grip,grip,Words,1
street,street,Words,1
keep,keep,Words,1
challenge,challenge,Words,1
watchin,watchin,Words,1
lose,lose,Words,1
word,word,Words,1
ache,ache,Words,1
trace,trace,Words,1
cry,cry,Words,1
cold,cold,Words,1
face,face,Words,1
cant,cant,Words,1
embrace,embrace,Words,1
move,move,Words,1
replace,replace,Words,1
single,single,Words,1
make,make,Words,1
take,take,Words,1
play,play,Words,1
baby,baby,Words,1
smile,smile,Words,1
poor,poor,Words,1
please,please,Words,1
game,game,Words,1
stay,stay,Words,1
ill,ill,Words,1
every,every,Words,1
watch,watch,Words,1
stake,stake,Words,1
claim,claim,Words,1
look,look,Words,1
break,break,Words,1
keep,keep,Words,1
oh,oh,Words,1
heart,heart,Words,1
breath,breath,Words,1
night,night,Words,1
since,since,Words,1
around,around,Words,1
belong,belong,Words,1
day,day,Words,1
feel,feel,Words,1
long,long,Words,1
without,without,Words,1
see,see,Words,1
youve,youve,Words,1
vow,vow,Words,1
fake,fake,Words,1
go,go,Words,1
lose,lose,Words,1
step,step,Words,1
dream,dream,Words,1
bond,bond,Words,1
say,say,Words,1
cry,cry,Words,1
movie,movie,Words,1
advice,advice,Words,1
soon,soon,Words,1
dance,dance,Words,1
floor,floor,Words,1
side,side,Words,1
think,think,Words,1
show,show,Words,1
remember,remember,Words,1
love,love,Words,1
head,head,Words,1
cause,cause,Words,1
always,always,Words,1
sonbreaking,sonbreaking,Words,1
mind,mind,Words,1
son,son,Words,1
three,three,Words,1
kid,kid,Words,1
scene,scene,Words,1
say,say,Words,1
billie,billie,Words,1
mine,mine,Words,1
happen,happen,Words,1
like,like,Words,1
lover,lover,Words,1
room,room,Words,1
mean,mean,Words,1
come,come,Words,1
babe,babe,Words,1
beauty,beauty,Words,1
girl,girl,Words,1
every,every,Words,1
dont,dont,Words,1
twice,twice,Words,1
much,much,Words,1
turn,turn,Words,1
day,day,Words,1
become,become,Words,1
forty,forty,Words,1
till,till,Words,1
plan,plan,Words,1
sweet,sweet,Words,1
go,go,Words,1
claim,claim,Words,1
dream,dream,Words,1
demand,demand,Words,1
right,right,Words,1
smell,smell,Words,1
